Country Name,Rank,Male,Female,Average,Forest area (1000 ha),Country Code,Population (1000)
Czech Republic,57,75.8,81.9,78.8,2677,CZE,10669709
Costa Rica,58,76.1,81.5,78.7,3035,CRI,5047561
Albania,59,75.8,81.4,78.5,789,ALB,2854191
Slovenia,61,74.8,82.2,78.3,1238,SVN,2087946
Dominican Republic,62,76,80.6,78.3,2144,DOM,10738958
Kuwait,64,76.8,79.6,78.2,6,KWT,4207083
New Caledonia,65,73.9,82,77.9,838,NCL,287800
Lebanon,67,76.5,79.1,77.8,143,LBN,6855713
Poland,68,73.9,81.8,77.8,9483,POL,37970874
United Arab Emirates,69,75,80.4,77.7,317,ARE,9770529
Paraguay,71,74.7,80.2,77.4,16102,PRY,7044636
Uruguay,72,74.2,80.6,77.4,2031,URY,3461734
Argentina,74,74.2,80.6,77.3,28573,ARG,44938712
Dominica,76,74.2,80.3,77.2,48,DMA,71808
Morocco,77,74,80.3,77.1,5742,MAR,36471769
